fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002020100,14.01,19.23,73.6,93.56,1.39,0,99.57
2002020101,13.83,18.76,73.58,94.49,1.07,0,98.85
2002020102,13.58,15.8,73.58,95.51,0.67,0,100
2002020103,13.25,13.75,73.59,95.92,0.57,0,100
2002020104,13.04,16.01,73.63,96.21,0.5,0,100
2002020105,12.87,13.91,73.69,95.96,0.36,0,100
2002020106,13.38,16.92,73.76,93.81,0.4,10.35,100
2002020107,15.25,20.73,73.82,83.18,0.98,51.15,100
2002020108,17.14,9.06,73.86,70.48,1.59,106.57,99.44
2002020109,18.99,9.2,73.88,58.6,1.99,301.7,99.25
2002020110,20.34,8.93,73.89,51.92,2.42,440.92,25.07
2002020111,20.96,10.73,73.87,49.26,2.86,465.1,99.78
2002020112,21.23,12.14,73.85,48.29,3.16,681.33,97.64
2002020113,21.06,12.74,73.8,48.72,3.35,647.78,98.4
2002020114,20.75,13.87,73.75,49.86,3.42,707.55,88.94
2002020115,20.38,15.04,73.7,51.42,3.43,519.95,90.53
2002020116,19.41,14.39,73.68,55.27,3.36,333.98,91.92
2002020117,17.92,12.41,73.7,62.73,2.98,179.75,91.33
2002020118,16.14,13.58,73.74,75.36,2.09,44.97,93.85
2002020119,15.05,15.24,73.79,84.97,1.59,0,99.4
2002020120,14.56,15.2,73.85,89.46,1.39,0,100
2002020121,14.31,15.35,73.9,92.14,1.34,0,100
2002020122,14.15,15.21,73.91,93.76,1.15,0,99.39
2002020123,14.01,15.84,73.86,94.62,0.99,0,98.51
2002020200,13.48,17.33,73.8,96.2,0.65,0,99.82
2002020201,13.03,19.84,73.76,97.31,0.41,0,100
2002020202,12.84,22.38,73.77,97.51,0.74,0,70.17
2002020203,12.72,25.18,73.79,97.92,1.15,0,49.29
2002020204,13.08,26.84,73.83,97.47,1.44,0,28.42
2002020205,13.1,26.87,73.88,97.64,1.19,0,100
2002020206,13.33,25.66,73.94,96.41,1.37,17.83,100
2002020207,13.76,21.91,73.98,92.91,1.82,93.45,99.8
2002020208,14.77,33.98,74,86,2.05,197.68,98.67
2002020209,16.67,24.97,74.01,74.24,2.43,338.33,96.28
2002020210,18.39,17.95,73.99,63.37,2.89,357.38,97.97
2002020211,19.36,16.86,73.95,58.1,3.31,482.1,99.04
2002020212,19.76,14.76,73.91,56.23,3.66,606.97,100
2002020213,18.89,14.61,73.87,60.14,3.88,552.45,98.8
2002020214,17.83,14.53,73.85,65.4,3.79,508.27,97.93
2002020215,16.93,15.39,73.83,69.99,3.53,384.08,99.78
2002020216,16.14,13.95,73.82,74.62,3.26,269.75,99.85
2002020217,15.21,10.3,73.85,80.72,2.81,140.57,99.55
2002020218,14.28,11.05,73.89,87.85,2.08,37.78,99.4
2002020219,13.75,14.32,73.95,92.48,1.55,0,99.33
2002020220,13.21,14.9,74,94.85,1,0,98.49
2002020221,12.66,14.47,74.04,95.11,0.76,0,97.34
2002020222,12.42,12.58,74.05,93.95,0.53,0,97.68
2002020223,12.24,11.95,74.01,94.1,0.29,0,92.03
2002020300,12.19,12.7,73.94,95.4,0.29,0,99.74
2002020301,12.01,15.65,73.89,96.06,0.39,0,99.99
2002020302,11.94,16.73,73.86,95.71,0.51,0,100
2002020303,11.86,15,73.85,95.52,0.52,0,100
2002020304,11.78,12.31,73.86,95.36,0.53,0,100
2002020305,11.71,11.13,73.9,95.35,0.61,0,100
2002020306,12.14,9.01,73.95,93.65,0.86,22.12,100
2002020307,13.15,9.31,73.98,89.7,1.28,125.97,100
2002020308,14.48,2.5,73.98,84.19,2.04,305.67,100
2002020309,16.05,2.81,73.95,75.24,2.98,433.52,99.06
2002020310,17.47,3.08,73.91,66.72,3.7,489.33,97.41
2002020311,17.99,4.09,73.87,63.57,4.36,545.65,99.53
2002020312,18,5.19,73.82,63.26,4.62,737.12,99.64
2002020313,18.08,6.34,73.76,62.78,4.48,799.08,26.55
2002020314,18.31,7.51,73.71,61.83,4.24,764.83,80.12
2002020315,18.02,8.29,73.66,63.1,3.98,593.97,76.79
2002020316,17.07,7.91,73.63,67.99,3.72,403.52,73.85
2002020317,15.88,5.82,73.63,75.42,3.34,211.43,71.26
2002020318,14.4,6.07,73.66,86.11,2.47,54.78,69.05
2002020319,13.46,5.75,73.69,93.77,1.86,0,65.74
2002020320,13.09,5.47,73.73,96.34,1.57,0,73.15
2002020321,12.75,5.21,73.78,97.7,1.29,0,88.93
2002020322,12.41,4.95,73.8,98.72,1.13,0,80.96
2002020323,12.03,4.77,73.77,99.27,0.96,0,93.13
2002020400,11.47,3.87,73.72,99.58,0.78,0,95.25
2002020401,11.14,2.8,73.68,99.61,0.64,0,98.08
2002020402,10.95,2.08,73.65,99.23,0.52,0,97.46
2002020403,10.73,1.52,73.64,99.14,0.45,0,89.87
