fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2026010100,11.9,0.13,73.82,81.17,1.67,0.0,65.91
2026010101,11.3,0.26,73.74,81.35,1.27,0.0,56.95
2026010102,11.0,0.76,73.7,79.77,1.11,0.0,50.92
2026010103,10.6,0.38,73.67,80.64,1.16,0.0,51.47
2026010104,10.2,0.43,73.65,78.31,1.23,0.0,53.79
2026010105,10.0,0.36,73.72,77.85,1.13,0.0,52.17
2026010106,10.1,0.44,73.77,72.24,0.98,47.76,48.4
2026010107,12.4,0.04,73.83,59.44,1.6,246.07,52.38
2026010108,16.2,0.19,73.87,48.72,2.36,465.62,52.14
2026010109,18.8,0.48,73.89,44.17,2.69,697.8,53.5
2026010110,20.9,0.41,73.89,37.82,3.09,844.44,48.05
2026010111,22.8,0.19,73.83,36.43,3.83,931.5,42.91
2026010112,23.2,0.32,73.77,35.88,4.49,942.25,48.47
2026010113,23.5,0.1,73.68,35.72,4.77,868.67,71.57
2026010114,23.6,0.12,73.64,35.21,4.9,637.52,69.8
2026010115,23.2,0.12,73.57,37.81,5.04,452.67,75.43
2026010116,21.5,0.13,73.57,39.97,4.95,259.58,78.1
2026010117,19.9,0.21,73.62,47.32,4.62,90.54,73.73
2026010118,17.6,0.16,73.7,55.83,3.67,0.0,78.64
2026010119,16.5,0.43,73.82,65.16,2.97,0.0,78.25
2026010120,15.8,0.51,73.88,67.57,2.35,0.0,77.26
2026010121,14.9,0.47,73.93,72.07,1.85,0.0,72.8
2026010122,14.1,0.39,73.95,74.71,1.71,0.0,75.52
2026010123,13.4,0.49,73.93,76.53,1.51,0.0,70.14
2026010200,11.9,0.03,73.9,79.61,1.36,0.0,59.63
2026010201,11.4,0.02,73.85,80.05,1.08,0.0,49.5
2026010202,11.0,0.32,73.8,80.86,0.95,0.0,47.81
2026010203,10.7,0.13,73.8,83.16,0.81,0.0,50.67
2026010204,10.4,0.29,73.81,83.96,0.83,0.0,51.54
2026010205,10.3,0.21,73.86,81.51,0.9,0.0,44.82
2026010206,10.3,0.05,73.93,80.69,0.86,49.22,41.26
2026010207,12.4,0.28,73.99,69.8,1.41,253.91,43.51
2026010208,15.6,0.14,74.01,56.79,2.16,485.93,42.84
2026010209,18.0,0.29,74.02,48.51,2.68,709.84,39.15
2026010210,20.2,0.28,74.0,42.37,3.07,858.48,27.2
2026010211,21.9,0.66,73.93,38.84,3.87,938.85,30.97
2026010212,23.0,0.51,73.86,33.76,4.5,955.14,43.23
2026010213,23.9,0.69,73.81,32.98,4.85,854.58,65.25
2026010214,23.3,0.79,73.73,33.29,5.01,639.53,60.85
2026010215,22.4,0.34,73.67,37.71,5.11,458.33,67.57
2026010216,20.9,0.3,73.69,39.09,4.96,269.77,71.47
2026010217,19.2,0.06,73.72,46.95,4.7,94.18,67.9
2026010218,17.1,0.07,73.82,54.51,3.84,0.0,69.8
2026010219,15.9,0.33,73.9,61.85,2.91,0.0,71.62
2026010220,14.6,0.19,73.96,67.73,2.28,0.0,66.68
2026010221,13.8,0.35,74.02,72.19,1.88,0.0,63.57
2026010222,13.1,0.27,74.05,75.33,1.71,0.0,68.48
2026010223,12.3,0.4,74.01,77.29,1.52,0.0,55.11
2026010300,11.5,0.01,73.98,79.0,1.3,0.0,51.62
2026010301,10.9,0.51,73.95,80.52,1.15,0.0,46.79
2026010302,10.4,2.29,73.89,81.57,0.99,0.0,40.37
2026010303,9.9,1.45,73.89,84.1,0.94,0.0,40.28
2026010304,9.6,1.06,73.9,82.14,1.08,0.0,40.29
2026010305,9.4,1.21,73.94,81.01,1.11,0.0,38.37
2026010306,9.7,0.76,74.01,79.68,1.03,49.22,39.51
2026010307,12.6,0.82,74.07,66.36,1.67,255.53,37.17
2026010308,16.3,0.81,74.08,51.92,2.5,491.62,39.62
2026010309,18.3,0.7,74.09,44.06,3.16,717.01,36.1
2026010310,20.7,0.5,74.05,39.71,3.51,873.53,26.17
2026010311,22.7,0.39,74.0,36.91,4.31,986.28,25.37
2026010312,23.6,0.36,73.91,33.18,4.64,984.9,27.7
2026010313,23.8,0.47,73.85,33.61,4.81,897.61,51.18
2026010314,23.4,0.72,73.77,31.24,4.97,673.4,49.75
2026010315,23.2,0.55,73.71,33.9,5.19,496.58,50.86
2026010316,21.8,0.61,73.73,38.09,5.24,285.32,52.12
2026010317,19.6,0.67,73.78,43.43,5.04,101.69,44.45
2026010318,17.1,0.4,73.85,50.38,3.96,0.0,57.22
2026010319,15.8,0.87,73.94,59.05,2.85,0.0,62.55
2026010320,14.9,0.6,73.99,66.57,2.27,0.0,50.35
2026010321,14.0,0.48,74.06,71.26,1.67,0.0,49.45
2026010322,13.2,0.67,74.08,75.22,1.44,0.0,55.46
2026010323,12.4,0.36,74.07,78.11,1.3,0.0,43.17
2026010400,11.8,0.27,74.02,79.6,1.15,0.0,35.08
2026010401,11.2,0.64,73.99,80.79,1.04,0.0,24.84
2026010402,10.8,0.5,73.93,81.99,0.96,0.0,20.01
2026010403,10.3,0.44,73.92,83.16,0.92,0.0,18.05
2026010404,10.1,0.41,73.93,82.92,0.86,0.0,19.98
2026010405,9.7,0.43,73.97,83.23,0.86,0.0,21.03
2026010406,9.9,0.14,74.02,83.02,0.9,57.15,14.53
2026010407,13.2,0.21,74.08,66.12,1.97,275.41,16.72
2026010408,17.1,0.31,74.11,53.13,3.29,525.0,17.4
2026010409,19.5,0.08,74.11,44.28,3.8,755.55,16.99
2026010410,21.7,0.05,74.07,36.92,4.16,919.92,16.68
2026010411,23.7,0.12,74.02,33.77,4.71,1001.18,16.09
2026010412,24.4,0.07,73.95,30.93,5.17,989.97,23.09
2026010413,24.8,0.07,73.84,29.69,5.62,878.61,33.09
2026010414,25.1,0.18,73.76,28.46,6.05,696.88,34.4
2026010415,24.4,0.35,73.73,29.43,6.15,526.61,31.4
2026010416,23.3,0.4,73.73,34.01,6.11,307.32,33.84
2026010417,20.7,0.21,73.78,40.39,5.65,106.89,28.63
2026010418,17.5,0.27,73.86,47.66,4.48,1.63,31.11
2026010419,15.9,0.37,73.94,58.23,3.27,0.0,28.92
2026010420,14.9,0.43,74.0,64.81,2.74,0.0,31.43
2026010421,14.0,0.46,74.07,70.72,2.54,0.0,33.33
2026010422,13.1,0.29,74.1,75.54,2.24,0.0,27.58
2026010423,12.5,0.32,74.07,77.91,1.89,0.0,23.73
2026010500,12.5,0.14,73.94,82.03,2.03,0.0,31.64
2026010501,11.9,0.39,73.89,85.62,1.71,0.0,18.92
2026010502,11.6,0.3,73.83,86.94,1.6,0.0,26.71
2026010503,11.2,0.53,73.79,89.68,1.36,0.0,28.54
2026010504,10.8,0.22,73.78,89.49,1.23,0.0,21.68
2026010505,10.6,0.15,73.79,89.23,1.26,0.0,25.98
2026010506,10.8,0.33,73.88,86.4,1.37,64.78,19.35
2026010507,14.1,0.39,73.92,70.05,2.49,284.4,21.81
2026010508,17.7,0.5,73.95,49.99,3.83,535.04,18.93
2026010509,20.8,0.42,73.95,40.86,4.36,754.0,11.19
2026010510,23.4,0.58,73.88,32.8,5.0,897.39,16.91
2026010511,25.1,0.77,73.8,27.63,5.4,933.31,26.78
