fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2026050100,11.2,1.69,73.75,97.92,0.74,0.0,43.88
2026050101,10.7,1.72,73.71,97.99,0.73,0.0,37.52
2026050102,10.4,1.4,73.68,96.48,0.8,0.0,45.8
2026050103,10.0,1.89,73.65,94.86,0.96,0.0,43.59
2026050104,9.5,1.98,73.66,93.37,1.23,0.0,38.05
2026050105,9.3,1.5,73.69,92.98,1.08,0.0,32.91
2026050106,9.1,1.2,73.75,90.73,0.99,4.6,32.32
2026050107,11.0,1.13,73.8,84.84,1.22,137.98,25.87
2026050108,14.5,1.05,73.82,71.16,1.5,351.87,28.64
2026050109,17.0,1.02,73.85,60.49,2.13,546.96,27.62
2026050110,19.1,0.96,73.87,56.93,2.35,664.67,24.0
2026050111,20.4,0.8,73.82,51.86,2.75,742.12,28.85
2026050112,20.9,0.93,73.76,51.14,3.02,774.06,30.54
2026050113,21.0,0.97,73.72,50.41,3.27,683.41,52.09
2026050114,20.7,1.09,73.67,51.65,3.4,498.33,68.26
2026050115,19.8,1.43,73.64,55.17,3.53,355.53,66.92
2026050116,18.4,1.51,73.64,61.71,3.19,191.66,71.14
2026050117,16.0,1.49,73.65,76.73,2.24,37.94,78.31
2026050118,13.8,2.1,73.69,91.32,1.32,0.0,83.81
2026050119,13.1,2.39,73.74,94.54,1.28,0.0,82.27
2026050120,12.9,3.34,73.8,96.13,1.07,0.0,75.53
2026050121,12.7,3.43,73.82,97.09,0.96,0.0,63.45
2026050122,12.6,3.04,73.82,97.97,0.89,0.0,54.22
2026050123,12.3,3.4,73.81,97.43,0.86,0.0,50.7
2026050200,11.6,1.85,73.81,97.48,0.76,0.0,54.94
2026050201,11.1,2.26,73.77,96.52,0.75,0.0,49.44
2026050202,10.5,2.11,73.76,95.72,0.8,0.0,57.81
2026050203,10.1,2.57,73.77,93.12,1.05,0.0,56.85
2026050204,9.3,2.3,73.77,92.28,1.28,0.0,42.65
2026050205,9.1,1.59,73.81,89.88,1.14,0.0,32.22
2026050206,9.3,1.27,73.86,88.48,1.0,4.17,32.78
2026050207,10.0,1.09,73.87,84.1,1.25,126.19,31.3
2026050208,12.6,2.33,73.91,76.42,1.59,324.82,37.91
2026050209,15.6,1.3,73.93,67.22,2.17,515.92,39.03
2026050210,18.0,1.45,73.94,61.49,2.2,627.55,25.75
2026050211,19.6,1.59,73.89,55.01,2.7,700.03,24.5
2026050212,20.0,1.13,73.8,54.29,2.95,721.52,28.69
2026050213,20.2,1.07,73.74,53.63,3.17,646.87,59.67
2026050214,19.6,1.08,73.69,55.2,3.29,468.44,69.22
2026050215,18.8,1.22,73.65,59.1,3.27,320.46,68.63
2026050216,17.7,1.25,73.66,65.16,2.95,176.86,73.36
2026050217,15.8,1.4,73.69,79.05,2.09,36.1,78.03
2026050218,13.5,2.11,73.72,91.45,1.34,0.0,83.12
2026050219,12.9,2.81,73.77,93.91,1.33,0.0,80.43
2026050220,12.5,3.98,73.84,95.99,1.11,0.0,75.32
